PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
Yvonne Turner,TC,74305,UFA,,,,,,,,,Seattle Storm

Jasmine Walker,U,70000,Reserved,,,,,,,,,Seattle Storm

Jade Melbourne,D,62285,U,63532,U,66710,OPT,76240,RFA,,,Seattle Storm

Ivana Dojkić,TC,62285,Reserved,,,,,,,,,Seattle Storm

Kaila Charles,TC,62285,Reserved,,,,,,,,,Seattle Storm

Arella Guirantes,TC,62285,Reserved,,,,,,,,,Seattle Storm

Sue Bird,UFA,,,,,,,,,,"2008, 2009",Seattle Storm

Tina Charles,UFA,,,,,,,,,,"2018, 2019, 2020",Seattle Storm

Briann January,UFA,,,,,,,,,,,Seattle Storm

Jantel Lavender,UFA,,,,,,,,,,,Seattle Storm

Gabby Williams,RFA,,,,,,,,,,,Seattle Storm

Cap Room,,420914,,802168,,1440390,,1476060,,1598800,,Seattle Storm

2023 Round 1 Pick 9 (9) (SEA),U,68295,U,69663,U,76630,OPT,87080,RFA,,,Seattle Storm

2023 Round 2 Pick 6 (18) (NYL),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Seattle Storm

2023 Round 2 Pick 9 (21) (SEA),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Seattle Storm

2023 Round 3 Pick 9 (33) (SEA),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Seattle Storm

2024 Round 1 Pick ? (?) (SEA),,,U,0,U,0,U,0,OPT,0,,Seattle Storm

2024 Round 2 Pick ? (?) (SEA),,,U,67249,U,68595,U,75456,OPT,85745,,Seattle Storm

2024 Round 3 Pick ? (?) (SEA),,,U,64154,U,65438,U,68711,OPT,78527,,Seattle Storm

2025 Round 1 Pick ? (?) (SEA),,,,,U,0,U,0,U,0,,Seattle Storm

2025 Round 2 Pick ? (?) (SEA),,,,,U,69267,U,70653,U,77720,,Seattle Storm

2025 Round 3 Pick ? (?) (SEA),,,,,U,66079,U,67401,U,70773,,Seattle Storm

Elena Delle Donne,V,234350,UFA,,,,,,,,,Washington Mystics

